KataID|Language|KataName|NumPart,icipants|Animal|Path|StartDate|secsInKata|TotalLights|RedLights|GreenLights|AmberLights|ConsecutiveReds|SLOC|testSLOC|productionSLOC|EditedLines|TotalTests|TotalRunTests|RunTestFails|CCNum|BranchCoverage|StatementCoverage|NumCycles|EndsInGreen|LightData|JsonCycles
FF36D36AD7|C++-GoogleTest|Print_Diamond|1|elephant|/home/hugh/cyberdojo/katas/FF/36D36AD7/elephant/|2014-06-18 08:46:54 -0700|293.0|5|0|0|5|0|40|0|0|8|1|0|NA|NA|NA|NA|0|0|~{amber:0:0:0:11.0}~{amber:2:0:2:22.0}~{amber:2:0:2:95.0}~{amber:2:0:2:154.0}~{amber:2:0:2:11.0}|[]
FFC91947C6|Java-1.8_JUnit|Recently_Used_List|16|wolf|/home/hugh/cyberdojo/katas/FF/C91947C6/wolf/|2013-02-25 13:00:53 -0800|1124.0|7|1|1|5|1|26|14|12|43|2|1|1|NA|NA|NA|1|0|+{red:0:0:0:373.0}+{amber:16:14:2:0}+{green:1:1:0:84.0}~{amber:6:6:0:145.0}~{amber:13:0:13:282.0}~{amber:1:0:1:109.0}~{amber:6:0:6:131.0}|[{"lights":[{"color":"red","totalEdits":0,"testEdits":0,"codeEdits":0,"time":373.0},{"color":"amber","totalEdits":16,"testEdits":14,"codeEdits":2,"time":0},{"color":"green","totalEdits":1,"testEdits":1,"codeEdits":0,"time":84.0}],"totalCycleEdits":17,"totalCycleTestEdits":15,"totalCycleCodeEdits":2,"cycleTestChanges":13,"cycleCodeChanges":2,"totalCycleTime":457.0}]
FF2B9623C6|Java-1.8_JUnit|Anagrams|1|wolf|/home/hugh/cyberdojo/katas/FF/2B9623C6/wolf/|2013-07-11 13:11:21 -0700|493.0|6|1|3|2|1|40|13|27|53|1|1|1|NA|1.000000|0.800000|1|1|+{red:0:0:0:6.0}+{amber:47:9:38:0}+{green:2:2:0:32.0}~{amber:2:2:0:433.0}~{green:2:2:0:17.0}~{green:0:0:0:5.0}|[{"lights":[{"color":"red","totalEdits":0,"testEdits":0,"codeEdits":0,"time":6.0},{"color":"amber","totalEdits":47,"testEdits":9,"codeEdits":38,"time":0},{"color":"green","totalEdits":2,"testEdits":2,"codeEdits":0,"time":32.0}],"totalCycleEdits":49,"totalCycleTestEdits":11,"totalCycleCodeEdits":38,"cycleTestChanges":11,"cycleCodeChanges":38,"totalCycleTime":38.0}]
FF13EC1E8B|PHP-PHPUnit|Anagrams|1|wolf|/home/hugh/cyberdojo/katas/FF/13EC1E8B/wolf/|2013-11-30 14:19:42 -0800|834.0|9|3|5|1|2|20|0|0|27|1|0|NA|NA|NA|NA|1|1|~{red:0:0:0:8.0}~{green:2:2:0:217.0}~{green:4:2:2:155.0}+{red:4:4:0:95.0}+{red:4:0:4:119.0}+{green:2:2:0:54.0}~{amber:5:0:5:89.0}~{green:2:0:2:32.0}~{green:4:4:0:65.0}|[{"lights":[{"color":"red","totalEdits":4,"testEdits":4,"codeEdits":0,"time":95.0},{"color":"red","totalEdits":4,"testEdits":0,"codeEdits":4,"time":119.0},{"color":"green","totalEdits":2,"testEdits":2,"codeEdits":0,"time":54.0}],"totalCycleEdits":10,"totalCycleTestEdits":6,"totalCycleCodeEdits":4,"cycleTestChanges":2,"cycleCodeChanges":4,"totalCycleTime":268.0}]
FF26F3AFC0|Javascript-assert|Count_Coins|1|deer|/home/hugh/cyberdojo/katas/FF/26F3AFC0/deer/|2014-06-16 19:15:45 -0700|20.0|3|3|0|0|0|7|0|0|0|1|0|NA|NA|NA|NA|0|0|~{red:0:0:0:9.0}~{red:0:0:0:4.0}~{red:0:0:0:7.0}|[]
FF20744E3D|Java-1.8_JUnit|Leap_Years|2|hippo|/home/hugh/cyberdojo/katas/FF/20744E3D/hippo/|2013-10-19 10:03:57 -0700|1713.0|6|3|2|1|3|47|38|9|74|1|3|3|NA|1.000000|1.000000|1|1|+{red:0:0:0:62.0}+{amber:44:42:2:1189.0}+{red:2:0:2:14.0}+{red:14:0:14:194.0}+{green:2:2:0:40.0}~{green:12:0:12:214.0}|[{"lights":[{"color":"red","totalEdits":0,"testEdits":0,"codeEdits":0,"time":62.0},{"color":"amber","totalEdits":44,"testEdits":42,"codeEdits":2,"time":1189.0},{"color":"red","totalEdits":2,"testEdits":0,"codeEdits":2,"time":14.0},{"color":"red","totalEdits":14,"testEdits":0,"codeEdits":14,"time":194.0},{"color":"green","totalEdits":2,"testEdits":2,"codeEdits":0,"time":40.0}],"totalCycleEdits":62,"totalCycleTestEdits":44,"totalCycleCodeEdits":18,"cycleTestChanges":42,"cycleCodeChanges":18,"totalCycleTime":1499.0}]
FF4A7EDBF6|Java-1.8_Mockito|Count_Coins|1|alligator|/home/hugh/cyberdojo/katas/FF/4A7EDBF6/alligator/|2014-03-11 20:25:57 -0700|18.0|2|2|0|0|0|32|0|0|0|1|0|NA|NA|NA|NA|0|0|~{red:0:0:0:10.0}~{red:0:0:0:8.0}|[]
FF288ADF25|PHP-PHPUnit|Recently_Used_List|1|gorilla|/home/hugh/cyberdojo/katas/FF/288ADF25/gorilla/|2013-09-19 17:36:53 -0700|206.0|6|1|1|4|1|17|0|0|32|1|0|NA|NA|NA|NA|1|0|+{red:0:0:0:6.0}+{amber:20:13:7:101.0}+{amber:2:0:2:25.0}+{amber:4:2:2:27.0}+{green:2:2:0:12.0}~{amber:4:4:0:35.0}|[{"lights":[{"color":"red","totalEdits":0,"testEdits":0,"codeEdits":0,"time":6.0},{"color":"amber","totalEdits":20,"testEdits":13,"codeEdits":7,"time":101.0},{"color":"amber","totalEdits":2,"testEdits":0,"codeEdits":2,"time":25.0},{"color":"amber","totalEdits":4,"testEdits":2,"codeEdits":2,"time":27.0},{"color":"green","totalEdits":2,"testEdits":2,"codeEdits":0,"time":12.0}],"totalCycleEdits":28,"totalCycleTestEdits":17,"totalCycleCodeEdits":11,"cycleTestChanges":13,"cycleCodeChanges":7,"totalCycleTime":171.0}]
FF97F3DA2E|Java-1.8_Approval|100_doors|2|zebra|/home/hugh/cyberdojo/katas/FF/97F3DA2E/zebra/|2013-05-14 03:26:08 -0700|394.0|7|3|0|4|0|18|0|0|18|1|0|NA|NA|NA|NA|0|0|~{red:0:0:0:11.0}~{amber:2:0:2:70.0}~{amber:0:0:0:26.0}~{red:4:4:0:64.0}~{amber:5:0:5:155.0}~{amber:2:0:2:15.0}~{red:5:0:5:53.0}|[]
FF10930C7C|C++-assert|100_doors|1|lion|/home/hugh/cyberdojo/katas/FF/10930C7C/lion/|2013-06-30 06:34:37 -0700|589.0|11|1|0|10|0|38|0|0|42|1|0|NA|NA|NA|NA|0|0|~{red:0:0:0:7.0}~{amber:6:0:6:163.0}~{amber:9:0:9:205.0}~{amber:6:0:6:63.0}~{amber:4:0:4:45.0}~{amber:4:0:4:14.0}~{amber:4:0:4:28.0}~{amber:4:0:4:21.0}~{amber:2:0:2:18.0}~{amber:2:0:2:13.0}~{amber:1:0:1:12.0}|[]
FF9AEC0CE4|Javascript-jasmine|Print_Diamond|1|frog|/home/hugh/cyberdojo/katas/FF/9AEC0CE4/frog/|2014-05-28 21:28:26 -0700|516.0|2|2|0|0|0|9|0|0|0|NA|0|NA|NA|NA|NA|0|0|~{red:NA:NA:NA:486.0}~{red:NA:NA:NA:30.0}|[]
FF4727F462|Java-1.8_JUnit|Roman_Numerals|6|hippo|/home/hugh/cyberdojo/katas/FF/4727F462/hippo/|2014-04-16 15:21:43 -0700|672.0|4|2|2|0|0|15|10|5|2|1|2|2|NA|1.000000|1.000000|0|1|~{red:0:0:0:56.0}~{red:0:0:0:596.0}~{green:2:2:0:20.0}~{green:0:0:0:0}|[]
FF4ECC8B9B|Python-unittest|100_doors|1|gorilla|/home/hugh/cyberdojo/katas/FF/4ECC8B9B/gorilla/|2013-03-17 06:33:00 -0700|756.0|7|3|2|2|3|26|0|0|36|1|0|NA|3|NA|1.0|1|1|+{red:0:0:0:8.0}+{red:0:0:0:51.0}+{red:2:0:2:40.0}+{green:2:0:2:10.0}~{amber:28:6:22:610.0}~{amber:2:0:2:20.0}~{green:2:0:2:17.0}|[{"lights":[{"color":"red","totalEdits":0,"testEdits":0,"codeEdits":0,"time":8.0},{"color":"red","totalEdits":0,"testEdits":0,"codeEdits":0,"time":51.0},{"color":"red","totalEdits":2,"testEdits":0,"codeEdits":2,"time":40.0},{"color":"green","totalEdits":2,"testEdits":0,"codeEdits":2,"time":10.0}],"totalCycleEdits":4,"totalCycleTestEdits":0,"totalCycleCodeEdits":4,"cycleTestChanges":0,"cycleCodeChanges":2,"totalCycleTime":109.0}]
FF20744E3D|Java-1.8_JUnit|Leap_Years|2|zebra|/home/hugh/cyberdojo/katas/FF/20744E3D/zebra/|2013-10-19 10:03:57 -0700|2330.0|11|1|4|6|1|31|21|10|48|1|1|1|NA|1.000000|1.000000|1|1|+{red:0:0:0:269.0}+{green:2:0:2:22.0}~{amber:18:18:0:438.0}~{amber:5:0:5:857.0}~{amber:2:0:2:273.0}~{amber:1:0:1:82.0}~{green:3:0:3:48.0}~{amber:7:5:2:177.0}~{green:2:0:2:85.0}~{amber:4:2:2:28.0}~{green:4:2:2:51.0}|[{"lights":[{"color":"red","totalEdits":0,"testEdits":0,"codeEdits":0,"time":269.0},{"color":"green","totalEdits":2,"testEdits":0,"codeEdits":2,"time":22.0}],"totalCycleEdits":2,"totalCycleTestEdits":0,"totalCycleCodeEdits":2,"cycleTestChanges":0,"cycleCodeChanges":2,"totalCycleTime":291.0}]
FF5E6EB1F3|Java-1.8_Mockito|100_doors|1|cheetah|/home/hugh/cyberdojo/katas/FF/5E6EB1F3/cheetah/|2014-06-01 00:34:55 -0700|916.0|8|2|0|6|0|28|0|0|87|1|0|NA|NA|NA|NA|0|0|~{red:0:0:0:21.0}~{amber:46:0:46:635.0}~{amber:2:0:2:61.0}~{amber:8:8:0:101.0}~{amber:2:2:0:17.0}~{amber:2:2:0:16.0}~{amber:0:0:0:26.0}~{red:27:6:21:39.0}|[]
FFC91947C6|Java-1.8_JUnit|Recently_Used_List|16|hippo|/home/hugh/cyberdojo/katas/FF/C91947C6/hippo/|2013-02-25 13:00:53 -0800|2354.0|12|1|3|8|0|31|22|9|72|3|1|1|NA|NA|NA|0|0|~{red:0:0:0:389.0}~{green:2:2:0:248.0}~{green:4:2:2:54.0}~{amber:15:15:0:405.0}~{amber:4:0:4:185.0}~{amber:5:0:5:42.0}~{green:3:0:3:161.0}~{amber:18:18:0:382.0}~{amber:4:0:4:50.0}~{amber:6:4:2:38.0}~{amber:9:0:9:361.0}~{amber:2:0:2:39.0}|[]
FF4727F462|Java-1.8_JUnit|Roman_Numerals|6|cheetah|/home/hugh/cyberdojo/katas/FF/4727F462/cheetah/|2014-04-16 15:21:43 -0700|784.0|7|2|0|5|0|69|64|5|93|5|6|6|NA|1.000000|0.162791|0|0|~{red:0:0:0:0}~{amber:72:72:0:652.0}~{amber:13:13:0:46.0}~{amber:2:0:2:18.0}~{amber:2:2:0:30.0}~{amber:4:0:4:24.0}~{red:0:0:0:14.0}|[]
FF34BC4B8A|C#-NUnit|Tennis|1|gorilla|/home/hugh/cyberdojo/katas/FF/34BC4B8A/gorilla/|2013-09-10 07:51:50 -0700|667.0|8|2|2|4|2|370|0|0|429|3|0|NA|NA|NA|NA|1|1|+{red:0:0:0:10.0}+{red:12:0:12:170.0}+{amber:11:0:11:74.0}+{amber:114:114:0:88.0}+{amber:85:85:0:59.0}+{amber:141:0:141:66.0}+{green:40:0:40:58.0}~{green:26:0:26:142.0}|[{"lights":[{"color":"red","totalEdits":0,"testEdits":0,"codeEdits":0,"time":10.0},{"color":"red","totalEdits":12,"testEdits":0,"codeEdits":12,"time":170.0},{"color":"amber","totalEdits":11,"testEdits":0,"codeEdits":11,"time":74.0},{"color":"amber","totalEdits":114,"testEdits":114,"codeEdits":0,"time":88.0},{"color":"amber","totalEdits":85,"testEdits":85,"codeEdits":0,"time":59.0},{"color":"amber","totalEdits":141,"testEdits":0,"codeEdits":141,"time":66.0},{"color":"green","totalEdits":40,"testEdits":0,"codeEdits":40,"time":58.0}],"totalCycleEdits":403,"totalCycleTestEdits":199,"totalCycleCodeEdits":204,"cycleTestChanges":199,"cycleCodeChanges":204,"totalCycleTime":525.0}]
FF058497AA|Python-unittest|Fizz_Buzz|1|elephant|/home/hugh/cyberdojo/katas/FF/058497AA/elephant/|2014-01-27 14:34:41 -0800|1750.0|15|5|7|3|2|36|0|0|55|5|0|NA|11|NA|1.0|4|1|+{red:0:0:0:7.0}+{green:7:2:5:188.0}~{green:3:3:0:66.0}+{red:3:3:0:58.0}+{green:2:0:2:40.0}+{red:5:5:0:951.0}+{amber:4:0:4:54.0}+{green:2:0:2:7.0}+{amber:4:4:0:59.0}+{red:2:2:0:22.0}+{red:12:0:12:118.0}+{green:2:0:2:36.0}~{amber:5:5:0:74.0}~{green:2:2:0:43.0}~{green:2:2:0:27.0}|[{"lights":[{"color":"red","totalEdits":0,"testEdits":0,"codeEdits":0,"time":7.0},{"color":"green","totalEdits":7,"testEdits":2,"codeEdits":5,"time":188.0}],"totalCycleEdits":7,"totalCycleTestEdits":2,"totalCycleCodeEdits":5,"cycleTestChanges":2,"cycleCodeChanges":5,"totalCycleTime":195.0},{"lights":[{"color":"red","totalEdits":3,"testEdits":3,"codeEdits":0,"time":58.0},{"color":"green","totalEdits":2,"testEdits":0,"codeEdits":2,"time":40.0}],"totalCycleEdits":5,"totalCycleTestEdits":3,"totalCycleCodeEdits":2,"cycleTestChanges":3,"cycleCodeChanges":2,"totalCycleTime":98.0},{"lights":[{"color":"red","totalEdits":5,"testEdits":5,"codeEdits":0,"time":951.0},{"color":"amber","totalEdits":4,"testEdits":0,"codeEdits":4,"time":54.0},{"color":"green","totalEdits":2,"testEdits":0,"codeEdits":2,"time":7.0}],"totalCycleEdits":11,"totalCycleTestEdits":5,"totalCycleCodeEdits":6,"cycleTestChanges":5,"cycleCodeChanges":4,"totalCycleTime":1012.0},{"lights":[{"color":"amber","totalEdits":4,"testEdits":4,"codeEdits":0,"time":59.0},{"color":"red","totalEdits":2,"testEdits":2,"codeEdits":0,"time":22.0},{"color":"red","totalEdits":12,"testEdits":0,"codeEdits":12,"time":118.0},{"color":"green","totalEdits":2,"testEdits":0,"codeEdits":2,"time":36.0}],"totalCycleEdits":20,"totalCycleTestEdits":6,"totalCycleCodeEdits":14,"cycleTestChanges":4,"cycleCodeChanges":12,"totalCycleTime":235.0}]
FEB55AB646|Java-1.8_JUnit|Roman_Numerals|1|alligator|/home/hugh/cyberdojo/katas/FE/B55AB646/alligator/|2014-01-04 12:43:01 -0800|920.0|5|2|1|2|2|15|10|5|16|1|2|2|NA|1.000000|1.000000|1|1|+{red:0:0:0:143.0}+{amber:2:0:2:389.0}+{red:2:2:0:31.0}+{amber:10:6:4:263.0}+{green:2:2:0:94.0}|[{"lights":[{"color":"red","totalEdits":0,"testEdits":0,"codeEdits":0,"time":143.0},{"color":"amber","totalEdits":2,"testEdits":0,"codeEdits":2,"time":389.0},{"color":"red","totalEdits":2,"testEdits":2,"codeEdits":0,"time":31.0},{"color":"amber","totalEdits":10,"testEdits":6,"codeEdits":4,"time":263.0},{"color":"green","totalEdits":2,"testEdits":2,"codeEdits":0,"time":94.0}],"totalCycleEdits":16,"totalCycleTestEdits":10,"totalCycleCodeEdits":6,"cycleTestChanges":12,"cycleCodeChanges":7,"totalCycleTime":920.0}]
FE3AAB2BA3|Python-pytest|100_doors|1|deer|/home/hugh/cyberdojo/katas/FE/3AAB2BA3/deer/|2014-07-22 20:09:37 -0700|275.0|8|0|0|8|0|11|0|0|6|2|0|NA|NA|NA|NA|0|0|~{amber:0:0:0:22.0}~{amber:0:0:0:66.0}~{amber:0:0:0:29.0}~{amber:0:0:0:4.0}~{amber:2:2:0:30.0}~{amber:3:3:0:44.0}~{amber:1:0:1:39.0}~{amber:0:0:0:41.0}|[]
FF6FC9130D|Java-1.8_JUnit|Fizz_Buzz|1|moose|/home/hugh/cyberdojo/katas/FF/6FC9130D/moose/|2013-08-18 12:43:40 -0700|753.0|18|2|11|5|2|15|8|7|61|1|2|2|NA|1.000000|1.000000|1|1|+{red:0:0:0:11.0}+{red:0:0:0:63.0}+{green:2:0:2:13.0}~{green:2:2:0:127.0}~{amber:6:6:0:91.0}~{amber:3:3:0:41.0}~{amber:6:6:0:24.0}~{amber:8:8:0:57.0}~{green:1:1:0:14.0}~{green:0:0:0:69.0}~{amber:6:0:6:35.0}~{green:2:0:2:53.0}~{green:6:6:0:63.0}~{green:4:4:0:20.0}~{green:6:0:6:30.0}~{green:2:0:2:9.0}~{green:2:2:0:22.0}~{green:5:5:0:11.0}|[{"lights":[{"color":"red","totalEdits":0,"testEdits":0,"codeEdits":0,"time":11.0},{"color":"red","totalEdits":0,"testEdits":0,"codeEdits":0,"time":63.0},{"color":"green","totalEdits":2,"testEdits":0,"codeEdits":2,"time":13.0}],"totalCycleEdits":2,"totalCycleTestEdits":0,"totalCycleCodeEdits":2,"cycleTestChanges":0,"cycleCodeChanges":2,"totalCycleTime":87.0}]
FED7A6BD9B|Java-1.8_JUnit|Poker_Hands|1|deer|/home/hugh/cyberdojo/katas/FE/D7A6BD9B/deer/|2014-05-28 15:52:23 -0700|217.0|6|4|2|0|2|15|10|5|10|1|4|4|NA|1.000000|1.000000|2|1|+{red:0:0:0:26.0}+{red:0:0:0:54.0}+{green:2:0:2:59.0}+{red:2:0:2:32.0}+{red:4:2:2:20.0}+{green:2:2:0:26.0}|[{"lights":[{"color":"red","totalEdits":0,"testEdits":0,"codeEdits":0,"time":26.0},{"color":"red","totalEdits":0,"testEdits":0,"codeEdits":0,"time":54.0},{"color":"green","totalEdits":2,"testEdits":0,"codeEdits":2,"time":59.0}],"totalCycleEdits":2,"totalCycleTestEdits":0,"totalCycleCodeEdits":2,"cycleTestChanges":0,"cycleCodeChanges":2,"totalCycleTime":139.0},{"lights":[{"color":"red","totalEdits":2,"testEdits":0,"codeEdits":2,"time":32.0},{"color":"red","totalEdits":4,"testEdits":2,"codeEdits":2,"time":20.0},{"color":"green","totalEdits":2,"testEdits":2,"codeEdits":0,"time":26.0}],"totalCycleEdits":8,"totalCycleTestEdits":4,"totalCycleCodeEdits":4,"cycleTestChanges":0,"cycleCodeChanges":0,"totalCycleTime":78.0}]
FF397E2E0C|C-assert|Anagrams|1|panda|/home/hugh/cyberdojo/katas/FF/397E2E0C/panda/|2014-04-13 10:50:50 -0700|5472.0|26|1|7|18|1|24|0|0|238|2|0|NA|NA|NA|NA|1|0|+{red:0:0:0:11.0}+{green:2:0:2:25.0}~{green:6:6:0:226.0}~{green:2:2:0:39.0}~{green:0:0:0:133.0}~{green:0:0:0:813.0}~{amber:10:10:0:560.0}~{amber:1:1:0:297.0}~{amber:2:2:0:77.0}~{green:10:10:0:163.0}~{amber:11:11:0:178.0}~{green:11:11:0:46.0}~{amber:11:11:0:57.0}~{amber:5:5:0:285.0}~{amber:65:65:0:471.0}~{amber:5:5:0:42.0}~{amber:5:5:0:22.0}~{amber:2:2:0:350.0}~{amber:2:2:0:19.0}~{amber:62:62:0:367.0}~{amber:11:11:0:94.0}~{amber:8:8:0:1089.0}~{amber:2:2:0:24.0}~{amber:2:2:0:33.0}~{amber:2:2:0:16.0}~{amber:1:1:0:35.0}|[{"lights":[{"color":"red","totalEdits":0,"testEdits":0,"codeEdits":0,"time":11.0},{"color":"green","totalEdits":2,"testEdits":0,"codeEdits":2,"time":25.0}],"totalCycleEdits":2,"totalCycleTestEdits":0,"totalCycleCodeEdits":2,"cycleTestChanges":0,"cycleCodeChanges":2,"totalCycleTime":36.0}]
FEA559227D|C++-assert|Harry_Potter|2|zebra|/home/hugh/cyberdojo/katas/FE/A559227D/zebra/|2013-12-05 15:29:20 -0800|623.0|3|3|0|0|0|17|0|0|0|1|0|NA|NA|NA|NA|0|0|~{red:0:0:0:610.0}~{red:0:0:0:11.0}~{red:0:0:0:2.0}|[]
FE7613F126|Java-1.8_JUnit|100_doors|1|gorilla|/home/hugh/cyberdojo/katas/FE/7613F126/gorilla/|2014-06-06 23:12:57 -0700|2092.0|13|5|4|4|5|36|12|24|84|1|5|5|NA|1.000000|0.800000|1|1|+{red:0:0:0:12.0}+{amber:16:11:5:177.0}+{amber:5:0:5:117.0}+{red:16:0:16:420.0}+{red:1:0:1:101.0}+{red:4:0:4:276.0}+{red:2:0:2:77.0}+{green:5:0:5:73.0}~{amber:2:1:1:93.0}~{amber:8:0:8:410.0}~{green:1:0:1:23.0}~{green:8:8:0:70.0}~{green:16:16:0:243.0}|[{"lights":[{"color":"red","totalEdits":0,"testEdits":0,"codeEdits":0,"time":12.0},{"color":"amber","totalEdits":16,"testEdits":11,"codeEdits":5,"time":177.0},{"color":"amber","totalEdits":5,"testEdits":0,"codeEdits":5,"time":117.0},{"color":"red","totalEdits":16,"testEdits":0,"codeEdits":16,"time":420.0},{"color":"red","totalEdits":1,"testEdits":0,"codeEdits":1,"time":101.0},{"color":"red","totalEdits":4,"testEdits":0,"codeEdits":4,"time":276.0},{"color":"red","totalEdits":2,"testEdits":0,"codeEdits":2,"time":77.0},{"color":"green","totalEdits":5,"testEdits":0,"codeEdits":5,"time":73.0}],"totalCycleEdits":49,"totalCycleTestEdits":11,"totalCycleCodeEdits":38,"cycleTestChanges":11,"cycleCodeChanges":24,"totalCycleTime":1253.0}]
FE1EF7318D|C#-NUnit|Fizz_Buzz|3|raccoon|/home/hugh/cyberdojo/katas/FE/1EF7318D/raccoon/|2013-09-12 00:06:24 -0700|1057.0|11|4|4|3|3|54|0|0|78|5|0|NA|NA|NA|NA|2|1|+{red:0:0:0:10.0}+{amber:13:6:7:113.0}+{green:12:12:0:38.0}+{amber:28:21:7:176.0}+{red:2:0:2:16.0}+{amber:6:0:6:162.0}+{red:2:0:2:38.0}+{red:7:0:7:218.0}+{green:4:0:4:50.0}~{green:4:0:4:45.0}~{green:0:0:0:191.0}|[{"lights":[{"color":"red","totalEdits":0,"testEdits":0,"codeEdits":0,"time":10.0},{"color":"amber","totalEdits":13,"testEdits":6,"codeEdits":7,"time":113.0},{"color":"green","totalEdits":12,"testEdits":12,"codeEdits":0,"time":38.0}],"totalCycleEdits":25,"totalCycleTestEdits":18,"totalCycleCodeEdits":7,"cycleTestChanges":16,"cycleCodeChanges":7,"totalCycleTime":161.0},{"lights":[{"color":"amber","totalEdits":28,"testEdits":21,"codeEdits":7,"time":176.0},{"color":"red","totalEdits":2,"testEdits":0,"codeEdits":2,"time":16.0},{"color":"amber","totalEdits":6,"testEdits":0,"codeEdits":6,"time":162.0},{"color":"red","totalEdits":2,"testEdits":0,"codeEdits":2,"time":38.0},{"color":"red","totalEdits":7,"testEdits":0,"codeEdits":7,"time":218.0},{"color":"green","totalEdits":4,"testEdits":0,"codeEdits":4,"time":50.0}],"totalCycleEdits":49,"totalCycleTestEdits":21,"totalCycleCodeEdits":28,"cycleTestChanges":21,"cycleCodeChanges":10,"totalCycleTime":660.0}]
